,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
0,Mohammad Rizwan †,b Curran,15,14,24,0,1,107.14,,
1,,,,,,,,,,
2,Babar Azam (c),c & b Rashid,32,28,58,2,0,114.28,,
3,,,,,,,,,,
4,Mohammad Haris,c Stokes b Rashid,8,12,15,1,0,66.66,,
5,,,,,,,,,,
6,Shan Masood,c Livingstone b Curran,38,28,46,2,1,135.71,,
7,,,,,,,,,,
8,Iftikhar Ahmed,c †Buttler b Stokes,0,6,8,0,0,0.00,,
9,,,,,,,,,,
10,Shadab Khan,c Woakes b Jordan,20,14,26,2,0,142.85,,
11,,,,,,,,,,
12,Mohammad Nawaz,c Livingstone b Curran,5,7,11,0,0,71.42,,
13,,,,,,,,,,
14,Mohammad Wasim,c Livingstone b Jordan,4,8,12,0,0,50.00,,
15,,,,,,,,,,
16,Shaheen Shah Afridi,not out,5,3,8,1,0,166.66,,
17,Haris Rauf,not out,1,1,3,0,0,100.00,,
18,Extras,"(b 1, lb 1, nb 1, w 6)",9,,,,,,,
19,TOTAL,20 Ov (RR: 6.85),137/8,,,,,,,
